La,F,dta,D50a,Fd,dsa
55,4.868950283,12.8,0.08,13.40134459,5.9
50,4.757203883,12.3,0.08,13.09377275,6.1
50,4.182508112,11.4,0.08,11.5119747,5.9
40,4.097909763,11.28,0.064,12.61044557,4.96
40,3.855176432,10.24,0.064,11.86348537,4.08
33.33333333,3.154316278,10.86666667,0.053333333,10.633198,3.933333333
33.33333333,2.580804227,9.066666667,0.053333333,8.699889275,3.533333333
40,4.757203883,12.3,0.08,13.09377275,6.4
40,4.182508112,11.4,0.08,11.5119747,0.6
32,4.097909763,11.28,0.064,12.61044557,5.52
32,3.855176432,10.24,0.064,11.86348537,5.04
26.66666667,3.154316278,10.86666667,0.053333333,10.633198,5.133333333
26.66666667,2.580804227,9.066666667,0.053333333,8.699889275,4.133333333
55,4.868950283,12.8,0.186,8.788948016,3.9
50,4.757203883,12.3,0.186,8.587234455,5.9
50,4.182508112,11.4,0.186,7.549850427,4.5
40,4.097909763,11.28,0.1488,8.270256002,4.16
40,3.855176432,10.24,0.1488,7.780380211,2.88
33.33333333,3.154316278,10.86666667,0.124,6.973525967,3.533333333
33.33333333,2.580804227,9.066666667,0.124,5.705612155,2.466666667
40,4.757203883,12.3,0.186,8.587234455,6
40,4.182508112,11.4,0.186,7.549850427,5.7
32,4.097909763,11.28,0.1488,8.270256002,4.96
32,3.855176432,10.24,0.1488,7.780380211,4.72
26.66666667,3.154316278,10.86666667,0.124,6.973525967,3.933333333
26.66666667,2.580804227,9.066666667,0.124,5.705612155,3.866666667
55,4.868950283,12.8,0.3,6.920424589,3
50,4.757203883,12.3,0.3,6.761595172,3.3
50,4.182508112,11.4,0.3,5.944758171,3.2
40,4.097909763,11.28,0.24,6.512006088,4.08
40,3.855176432,10.24,0.24,6.126277505,2.8
33.33333333,3.154316278,10.86666667,0.2,5.490959837,3.4
33.33333333,2.580804227,9.066666667,0.2,4.492603503,3.266666667
40,4.757203883,12.3,0.3,6.761595172,3.4
40,4.182508112,11.4,0.3,5.944758171,3.3
32,4.097909763,11.28,0.24,6.512006088,4.8
32,3.855176432,10.24,0.24,6.126277505,4.16
26.66666667,3.154316278,10.86666667,0.2,5.490959837,3.666666667
26.66666667,2.580804227,9.066666667,0.2,4.492603503,3.333333333
55,4.868950283,12.77,0.08,13.40134459,5.9
33.33333333,3.154316278,10.86666667,0.053333333,10.633198,3.933333333
33.33333333,2.580804227,9.066666667,0.053333333,8.699889275,3.533333333
40,4.097909763,11.28,0.064,12.61044557,4.96
40,3.855176432,10.208,0.064,11.86348537,4.08
50,4.757203883,12.27,0.08,13.09377275,6.1
50,4.182508112,11.4,0.08,11.5119747,5.9
26.66666667,3.154316278,10.86666667,0.053333333,10.633198,5.1
26.66666667,2.580804227,9.066666667,0.053333333,8.699889275,4.1
32,4.097909763,11.28,0.064,12.61044557,5.52
32,3.855176432,10.208,0.064,11.86348537,5.04
40,4.757203883,12.27,0.08,13.09377275,6.4
40,4.182508112,11.4,0.08,11.5119747,6
33.33333333,3.571415951,10.33333333,0.053333333,12.03924071,4.3
33.33333333,3.050041359,10,0.053333333,10.28168732,4.6
33.33333333,2.372254391,9.666666667,0.053333333,7.996867919,3.733333333
26.66666667,3.571415951,10.33333333,0.053333333,12.03924071,5.5
26.66666667,3.050041359,1,0.053333333,10.28168732,5
26.66666667,2.372254391,9.666666667,0.053333333,7.996867919,4.066666667
40,3.198368595,12,0.064,9.842298978,4
40,2.798572521,9.36,0.064,8.612011605,3.76
40,2.541560759,8.24,0.064,7.82111258,3.28
32,3.198368595,12,0.064,9.842298978,4.6
32,2.798572521,9.36,0.064,8.612011605,4.08
55,4.868950283,12.77,0.186,8.788948016,3.9
33.33333333,3.154316278,10.86666667,0.124,6.973525967,3.533333333
33.33333333,2.580804227,9.066666667,0.124,5.705612155,2.466666667
40,4.097909763,11.28,0.1488,8.270256002,4.16
40,3.855176432,10.208,0.1488,7.780380211,2.88
50,4.757203883,12.27,0.186,8.587234455,5.9
50,4.182508112,11.4,0.186,7.549850427,4.5
26.66666667,3.154316278,10.86666667,0.124,6.973525967,3.933333333
26.66666667,2.580804227,9.066666667,0.124,5.705612155,3.866666667
32,4.097909763,11.28,0.1488,8.270256002,4.96
32,3.855176432,10.208,0.1488,7.780380211,4.72
40,4.757203883,12.27,0.186,8.587234455,6
40,4.182508112,11.4,0.186,7.549850427,5.7
33.33333333,3.571415951,10.33333333,0.124,7.895645103,4
33.33333333,3.050041359,10,0.124,6.742996183,2.8
33.33333333,2.372254391,9.666666667,0.124,5.244552587,3
26.66666667,3.571415951,10.33333333,0.124,7.895645103,4.56
26.66666667,3.050041359,1,0.124,6.742996183,4
26.66666667,2.372254391,9.666666667,0.124,5.244552587,3.2
40,3.198368595,12,0.1488,6.454833953,3.2
40,2.798572521,9.36,0.1488,5.647979709,2.96
40,2.541560759,8.24,0.1488,5.129287695,2.64
32,3.198368595,12,0.1488,6.454833953,3.92
32,2.798572521,9.36,0.1488,5.647979709,3.2
55,4.868950283,12.77,0.3,6.920424589,3
33.33333333,3.154316278,10.86666667,0.2,5.490959837,3.4
33.33333333,2.580804227,9.066666667,0.2,4.492603503,3.266666667
40,4.097909763,11.28,0.24,6.512006088,4.08
40,3.855176432,10.208,0.24,6.126277505,2.76
50,4.757203883,12.27,0.3,6.761595172,3.3
50,4.182508112,11.4,0.3,5.944758171,3.2
26.66666667,3.154316278,10.86666667,0.2,5.490959837,3.633333333
26.66666667,2.580804227,9.066666667,0.2,4.492603503,3.333333333
32,4.097909763,11.28,0.24,6.512006088,4.76
32,3.855176432,10.208,0.24,6.126277505,4.12
40,4.757203883,12.27,0.3,6.761595172,3.4
40,4.182508112,11.4,0.3,5.944758171,3.3
33.33333333,3.571415951,10.33333333,0.2,6.217037171,3.5
33.33333333,3.050041359,10,0.2,5.309440504,2.8
33.33333333,2.372254391,9.666666667,0.2,4.129564836,2.6
26.66666667,3.571415951,10.33333333,0.2,6.217037171,4.2
26.66666667,3.050041359,1,0.2,5.309440504,3.533333333
26.66666667,2.372254391,9.666666667,0.2,4.129564836,2.8
40,3.198368595,12,0.24,5.082541337,2.96
40,2.798572521,9.36,0.24,4.44722367,2.64
40,2.541560759,8.24,0.24,4.03880517,2.32
32,3.198368595,12,0.24,5.082541337,3.44
32,2.798572521,9.36,0.24,4.44722367,2.8
33.33333333,3.154316278,10.86666667,0.017333333,18.65186316,6.733333333
33.33333333,2.580804227,9.066666667,0.017333333,15.26061531,5.266666667
40,4.097909763,11.28,0.0208,22.12018482,7.52
40,3.855176432,10.208,0.0208,20.80992997,6.8
26.66666667,3.154316278,10.86666667,0.017333333,18.65186316,7.333333333
26.66666667,2.580804227,9.066666667,0.017333333,15.26061531,5.666666667
32,4.097909763,11.28,0.0208,22.12018482,8.16
32,3.855176432,10.208,0.0208,20.80992997,7.36
33.33333333,3.154316278,10.86666667,0.169333333,5.967494621,3.666666667
33.33333333,2.580804227,9.066666667,0.169333333,4.882495599,2.8
40,4.097909763,11.28,0.2032,7.077152712,4.08
40,3.855176432,10.208,0.2032,6.657948544,3.68
26.66666667,3.154316278,10.86666667,0.169333333,5.967494621,3.933333333
26.66666667,2.580804227,9.066666667,0.169333333,4.882495599,3.066666667
32,4.097909763,11.28,0.2032,7.077152712,4.4
32,3.855176432,10.208,0.2032,6.657948544,4
33.33333333,3.154316278,10.86666667,0.273333333,4.69696113,3.2
33.33333333,2.580804227,9.066666667,0.273333333,3.842968197,2.466666667
40,4.097909763,11.28,0.328,5.570362993,3.6
40,3.855176432,10.208,0.328,5.240411178,3.2
26.66666667,3.154316278,10.86666667,0.273333333,4.69696113,3.466666667
26.66666667,2.580804227,9.066666667,0.273333333,3.842968197,2.666666667
32,4.097909763,11.28,0.328,5.570362993,3.84
32,3.855176432,10.208,0.328,5.240411178,3.52
33.33333333,3.154316278,10.86666667,0.368666667,4.044327615,2.933333333
33.33333333,2.580804227,9.066666667,0.368666667,3.308995322,2.266666667
40,4.097909763,11.28,0.4424,4.796372007,3.28
40,3.855176432,10.208,0.4424,4.512266348,2.96
26.66666667,3.154316278,10.86666667,0.368666667,4.044327615,3.2
26.66666667,2.580804227,9.066666667,0.368666667,3.308995322,2.466666667
32,4.097909763,11.28,0.4424,4.796372007,3.6
32,3.855176432,10.208,0.4424,4.512266348,3.2
33.33333333,3.154316278,9.933333333,0.053333333,10.633198,4.066666667
33.33333333,3.154316278,9.266666667,0.053333333,10.633198,4.166666667
33.33333333,3.154316278,8.673333333,0.053333333,10.633198,4.433333333
33.33333333,3.154316278,7.986666667,0.053333333,10.633198,4.466666667
33.33333333,3.154316278,12.06666667,0.053333333,10.633198,4.6
33.33333333,2.580804227,10.1,0.053333333,8.699889275,3.433333333
33.33333333,2.580804227,8.446666667,0.053333333,8.699889275,3.833333333
33.33333333,2.580804227,7.72,0.053333333,8.699889275,4.2
33.33333333,2.580804227,6.966666667,0.053333333,8.699889275,4
33.33333333,2.580804227,11,0.053333333,8.699889275,3.733333333
26.66666667,3.154316278,9.126666667,0.053333333,10.633198,4.633333333
26.66666667,3.154316278,10.06666667,0.053333333,10.633198,4.133333333
26.66666667,3.154316278,8.62,0.053333333,10.633198,4.626666667
26.66666667,3.154316278,7.96,0.053333333,10.633198,4.8
26.66666667,3.154316278,11.98,0.053333333,10.633198,5
26.66666667,2.580804227,10.15333333,0.053333333,8.699889275,4
26.66666667,2.580804227,8.386666667,0.053333333,8.699889275,3.966666667
26.66666667,2.580804227,7.493333333,0.053333333,8.699889275,4
26.66666667,2.580804227,65.73333333,0.053333333,8.699889275,6
26.66666667,2.580804227,11.15333333,0.053333333,8.699889275,3.933333333
40,4.097909763,9.44,0.064,12.61044557,5.6
40,4.097909763,11.84,0.064,12.61044557,5.32
40,4.097909763,12.16,0.064,12.61044557,5.6
40,4.097909763,13.52,0.064,12.61044557,5.76
40,4.097909763,13.856,0.064,12.61044557,5.84
40,3.855176432,9.848,0.064,11.86348537,5.52
40,3.855176432,10.296,0.064,11.86348537,5.56
40,3.855176432,12.976,0.064,11.86348537,5.12
40,3.855176432,12.08,0.064,11.86348537,4.8
40,3.855176432,13.76,0.064,11.86348537,5.2
32,4.097909763,12.08,0.064,12.61044557,5.36
32,4.097909763,9.784,0.064,12.61044557,6.24
32,4.097909763,11.176,0.064,12.61044557,5.52
32,4.097909763,13.544,0.064,12.61044557,6.4
32,4.097909763,13.712,0.064,12.61044557,6.24
32,3.855176432,10.368,0.064,11.86348537,5.84
32,3.855176432,10.608,0.064,11.86348537,5.68
32,3.855176432,12.904,0.064,11.86348537,5.72
32,3.855176432,12.112,0.064,11.86348537,5.6
32,3.855176432,13.496,0.064,11.86348537,5.88
33.33333333,3.154316278,9.933333333,0.124,6.973525967,3.933333333
33.33333333,3.154316278,9.266666667,0.124,6.973525967,3.613333333
33.33333333,3.154316278,8.673333333,0.124,6.973525967,4.266666667
33.33333333,3.154316278,7.986666667,0.124,6.973525967,3.533333333
33.33333333,3.154316278,12.06666667,0.124,6.973525967,4.14
33.33333333,2.580804227,10.1,0.124,5.705612155,3
33.33333333,2.580804227,8.446666667,0.124,5.705612155,3.74
33.33333333,2.580804227,7.72,0.124,5.705612155,3.666666667
33.33333333,2.580804227,6.966666667,0.124,5.705612155,3.133333333
33.33333333,2.580804227,11,0.124,5.705612155,3.933333333
26.66666667,3.154316278,9.126666667,0.124,6.973525967,4.36
26.66666667,3.154316278,10.06666667,0.124,6.973525967,3.766666667
26.66666667,3.154316278,8.62,0.124,6.973525967,4
26.66666667,3.154316278,7.96,0.124,6.973525967,4.333333333
26.66666667,3.154316278,11.98,0.124,6.973525967,4.326666667
26.66666667,2.580804227,10.15333333,0.124,5.705612155,3.586666667
26.66666667,2.580804227,8.386666667,0.124,5.705612155,3.466666667
26.66666667,2.580804227,7.493333333,0.124,5.705612155,3.666666667
26.66666667,2.580804227,65.73333333,0.124,5.705612155,3.333333333
26.66666667,2.580804227,11.15333333,0.124,5.705612155,3.853333333
40,4.097909763,9.44,0.1488,8.270256002,4.8
40,4.097909763,11.84,0.1488,8.270256002,4.88
40,4.097909763,12.16,0.1488,8.270256002,4.8
40,4.097909763,13.52,0.1488,8.270256002,4.96
40,4.097909763,13.856,0.1488,8.270256002,5.28
40,3.855176432,9.848,0.1488,7.780380211,4.8
40,3.855176432,10.296,0.1488,7.780380211,4.8
40,3.855176432,12.976,0.1488,7.780380211,5.12
40,3.855176432,12.08,0.1488,7.780380211,4.64
40,3.855176432,13.76,0.1488,7.780380211,5.12
32,4.097909763,12.08,0.1488,8.270256002,5.12
32,4.097909763,9.784,0.1488,8.270256002,4.72
32,4.097909763,11.176,0.1488,8.270256002,5.04
32,4.097909763,13.544,0.1488,8.270256002,5.44
32,4.097909763,13.712,0.1488,8.270256002,5.6
32,3.855176432,10.368,0.1488,7.780380211,4.8
32,3.855176432,10.608,0.1488,7.780380211,4.4
32,3.855176432,12.904,0.1488,7.780380211,5.2
32,3.855176432,12.112,0.1488,7.780380211,4.96
32,3.855176432,13.496,0.1488,7.780380211,5.44
55,4.868950283,12.77,0.08,13.40134459,5.9
33.33333333,3.154316278,10.86666667,0.053333333,10.633198,3.933333333
40,4.097909763,11.28,0.064,12.61044557,4.96
50,4.757203883,12.27,0.08,13.09377275,6.1
26.66666667,3.154316278,10.86666667,0.053333333,10.633198,5.1
32,4.097909763,11.28,0.064,12.61044557,5.52
40,4.757203883,12.27,0.08,13.09377275,6.4
55,4.868950283,12.77,0.186,8.788948016,3.9
33.33333333,3.154316278,10.86666667,0.124,6.973525967,3.533333333
40,4.097909763,11.28,0.1488,8.270256002,4.16
50,4.757203883,12.27,0.186,8.587234455,5.9
26.66666667,3.154316278,10.86666667,0.124,6.973525967,3.933333333
32,4.097909763,11.28,0.1488,8.270256002,4.96
40,4.757203883,12.27,0.186,8.587234455,6
55,4.868950283,12.77,0.3,6.920424589,3
33.33333333,3.154316278,10.86666667,0.2,5.490959837,3.4
40,4.097909763,11.28,0.24,6.512006088,4.08
50,4.757203883,12.27,0.3,6.761595172,3.3
26.66666667,3.154316278,10.86666667,0.2,5.490959837,3.633333333
32,4.097909763,11.28,0.24,6.512006088,4.76
40,4.757203883,12.27,0.3,6.761595172,3.4